ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2015-09-29,Number of sampling points,,1,count,,USGS-02203655,-84.21293,33.40441
2015-09-29,Specific conductance,Total,96,uS/cm @25C,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Acidity, (H+)",Total,0.00005,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,pH,Total,7.3,std units,,USGS-02203655,-84.21293,33.40441
2015-09-29,Carbon dioxide,Total,2.5,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,1.9,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,1.6,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Nitrite,Dissolved,0.016,mg/l as N,,USGS-02203655,-84.21293,33.40441
2015-09-29,Nitrate,Dissolved,0.356,mg/l as N,,USGS-02203655,-84.21293,33.40441
2015-09-29,Kjeldahl nitrogen,Dissolved,1.2,mg/l as N,,USGS-02203655,-84.21293,33.40441
2015-09-29,Kjeldahl nitrogen,Total,1.5,mg/l as N,,USGS-02203655,-84.21293,33.40441
2015-09-29,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.372,mg/l as N,,USGS-02203655,-84.21293,33.40441
2015-09-29,Orthophosphate,Dissolved,0.730,mg/l asPO4,,USGS-02203655,-84.21293,33.40441
2015-09-29,Phosphorus,Total,0.405,mg/l as P,,USGS-02203655,-84.21293,33.40441
2015-09-29,Phosphorus,Dissolved,0.250,mg/l as P,,USGS-02203655,-84.21293,33.40441
2015-09-29,Orthophosphate,Dissolved,0.238,mg/l as P,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Hardness, Ca, Mg",,29.4,mg/l CaCO3,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Hardness, non-carbonate",Dissolved,2,mg/l CaCO3,,USGS-02203655,-84.21293,33.40441
2015-09-29,Calcium,Dissolved,7.87,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Magnesium,Dissolved,2.38,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Sodium,Dissolved,4.08,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.33,,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Sodium, percent total cations",,21,%,,USGS-02203655,-84.21293,33.40441
2015-09-29,Potassium,Dissolved,2.60,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Chloride,Dissolved,4.58,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Sulfate,Dissolved,7.66,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Silica,Dissolved,8.37,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Cadmium,Dissolved,0.036,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Chromium,Dissolved,0.32,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Copper,Dissolved,8.8,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Iron,Dissolved,383,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Lead,Dissolved,1.00,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Manganese,Dissolved,52.5,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Nickel,Dissolved,0.94,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Zinc,Dissolved,13.8,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Aluminum,Dissolved,94.5,ug/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Alkalinity,Dissolved,27.5,mg/l CaCO3,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Stream flow, max, storm event",,264,ft3/s,Maximum,USGS-02203655,-84.21293,33.40441
2015-09-29,Turbidity,Total,37,FNU,,USGS-02203655,-84.21293,33.40441
2015-09-29,Total dissolved solids,Dissolved,57,mg/l,,USGS-02203655,-84.21293,33.40441
2015-09-29,Total dissolved solids,Dissolved,0.08,tons/ac ft,,USGS-02203655,-84.21293,33.40441
2015-09-29,Suspended Sediment Concentration (SSC),Suspended,91,%,,USGS-02203655,-84.21293,33.40441
2015-09-29,Nitrate,Dissolved,1.58,mg/l asNO3,,USGS-02203655,-84.21293,33.40441
2015-09-29,Nitrite,Dissolved,0.053,mg/l asNO2,,USGS-02203655,-84.21293,33.40441
2015-09-29,"Stream flow, median, storm event",,112,ft3/s,Median,USGS-02203655,-84.21293,33.40441
2015-09-29,"Stream flow, mean, storm event",,121,ft3/s,Mean,USGS-02203655,-84.21293,33.40441
2015-09-29,Suspended Sediment Concentration (SSC),Suspended,48,mg/l,,USGS-02203655,-84.21293,33.40441
2014-06-24,Stream width measure,,25.0,ft,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Temperature, water",,23.3,deg C,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Temperature, air",,25.2,deg C,,USGS-02203655,-84.21293,33.40441
2014-06-24,Barometric pressure,,748,mm/Hg,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Stream flow, instantaneous",,16,ft3/s,,USGS-02203655,-84.21293,33.40441
2014-06-24,Number of sampling points,,1,count,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Height, gage",,2.99,ft,,USGS-02203655,-84.21293,33.40441
2014-06-24,Specific conductance,Total,167,uS/cm @25C,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Acidity, (H+)",Total,0.00013,mg/l,,USGS-02203655,-84.21293,33.40441
2014-06-24,Oxygen,Dissolved,7.2,mg/l,,USGS-02203655,-84.21293,33.40441
2014-06-24,Oxygen,Dissolved,85,% saturatn,,USGS-02203655,-84.21293,33.40441
2014-06-24,pH,Total,6.9,std units,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Height, gage",,0.91,m,,USGS-02203655,-84.21293,33.40441
2014-06-24,"Stream flow, instantaneous",,0.45,m3/sec,,USGS-02203655,-84.21293,33.40441
2014-06-24,Fecal Coliform,,460,cfu/100ml,,USGS-02203655,-84.21293,33.40441
2014-06-24,Escherichia coli,,260,MPN/100 ml,,USGS-02203655,-84.21293,33.40441
2014-06-24,Total Coliform,Total,19000,MPN/100 ml,,USGS-02203655,-84.21293,33.40441
2014-06-24,Turbidity,Total,7.2,FNU,,USGS-02203655,-84.21293,33.40441
2012-03-09,Number of sampling points,,1,count,,USGS-02203655,-84.21293,33.40441
2012-03-09,Specific conductance,Total,130,uS/cm @25C,,USGS-02203655,-84.21293,33.40441
2012-03-09,"Acidity, (H+)",Total,0.00008,mg/l,,USGS-02203655,-84.21293,33.40441
2012-03-09,pH,Total,7.1,std units,,USGS-02203655,-84.21293,33.40441
2012-03-09,Carbon dioxide,Total,4.8,mg/l,,USGS-02203655,-84.21293,33.40441
2012-03-09,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,1.3,mg/l,,USGS-02203655,-84.21293,33.40441
2012-03-09,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,1.1,mg/l,,USGS-02203655,-84.21293,33.40441
2012-03-09,Nitrite,Dissolved,0.011,mg/l as N,,USGS-02203655,-84.21293,33.40441
2012-03-09,Nitrate,Dissolved,0.733,mg/l as N,,USGS-02203655,-84.21293,33.40441
2012-03-09,Kjeldahl nitrogen,Dissolved,0.32,mg/l as N,,USGS-02203655,-84.21293,33.40441
2012-03-09,Kjeldahl nitrogen,Total,0.58,mg/l as N,,USGS-02203655,-84.21293,33.40441
2012-03-09,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.744,mg/l as N,,USGS-02203655,-84.21293,33.40441
2012-03-09,Orthophosphate,Dissolved,0.018,mg/l asPO4,,USGS-02203655,-84.21293,33.40441
2012-03-09,Phosphorus,Total,0.082,mg/l as P,,USGS-02203655,-84.21293,33.40441
