ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2014-06-10,Number of sampling points,,1,count,,USGS-02336360,-84.2244,33.5209
2014-06-10,Stream width measure,,30.0,ft,,USGS-02336360,-84.2244,33.5209
2014-06-10,"Temperature, water",,22.9,deg C,,USGS-02336360,-84.2244,33.5209
2014-06-10,"Temperature, air",,26.8,deg C,,USGS-02336360,-84.2244,33.5209
2014-06-10,Barometric pressure,,740,mm/Hg,,USGS-02336360,-84.2244,33.5209
2014-06-10,Stream flow,,10,ft3/s,Mean,USGS-02336360,-84.2244,33.5209
2014-06-10,"Height, gage",,0.92,ft,,USGS-02336360,-84.2244,33.5209
2014-06-10,Specific conductance,Total,121,uS/cm @25C,,USGS-02336360,-84.2244,33.5209
2014-06-10,"Acidity, (H+)",Total,0.00011,mg/l,,USGS-02336360,-84.2244,33.5209
2014-06-10,Oxygen,Dissolved,7.1,mg/l,,USGS-02336360,-84.2244,33.5209
2014-06-10,Oxygen,Dissolved,84,% saturatn,,USGS-02336360,-84.2244,33.5209
2014-06-10,pH,Total,7.0,std units,,USGS-02336360,-84.2244,33.5209
2014-06-10,"Height, gage",,0.28,m,,USGS-02336360,-84.2244,33.5209
2014-06-10,Stream flow,,0.28,m3/sec,Mean,USGS-02336360,-84.2244,33.5209
2014-06-10,Fecal Coliform,,450,cfu/100ml,,USGS-02336360,-84.2244,33.5209
2014-06-10,Escherichia coli,,300,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2014-06-10,Total Coliform,Total,12000,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2014-06-10,Turbidity,Total,1.9,FNU,,USGS-02336360,-84.2244,33.5209
2012-11-14,"Temperature, water",,9.4,deg C,,USGS-02336360,-84.2244,33.5209
2012-11-14,"Temperature, air",,9.1,deg C,,USGS-02336360,-84.2244,33.5209
2012-11-14,Barometric pressure,,762,mm/Hg,,USGS-02336360,-84.2244,33.5209
2012-11-14,Number of sampling points,,1,count,,USGS-02336360,-84.2244,33.5209
2012-11-14,"Height, gage",,0.79,ft,,USGS-02336360,-84.2244,33.5209
2012-11-14,Specific conductance,Total,94,uS/cm @25C,,USGS-02336360,-84.2244,33.5209
2012-11-14,"Acidity, (H+)",Total,0.00003,mg/l,,USGS-02336360,-84.2244,33.5209
2012-11-14,Oxygen,Dissolved,10.4,mg/l,,USGS-02336360,-84.2244,33.5209
2012-11-14,Oxygen,Dissolved,91,% saturatn,,USGS-02336360,-84.2244,33.5209
2012-11-14,pH,Total,7.5,std units,,USGS-02336360,-84.2244,33.5209
2012-11-14,"Height, gage",,0.24,m,,USGS-02336360,-84.2244,33.5209
2012-11-14,Fecal Coliform,,250,cfu/100ml,,USGS-02336360,-84.2244,33.5209
2012-11-14,Escherichia coli,,150,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2012-11-14,Total Coliform,Total,6200,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2012-11-14,Turbidity,Total,2.0,FNU,,USGS-02336360,-84.2244,33.5209
2012-09-26,Turbidity,Total,1.1,FNU,,USGS-02336360,-84.2244,33.5209
2012-09-26,"Temperature, water",,17.4,deg C,,USGS-02336360,-84.2244,33.5209
2012-09-26,"Temperature, air",,18.4,deg C,,USGS-02336360,-84.2244,33.5209
2012-09-26,Barometric pressure,,749,mm/Hg,,USGS-02336360,-84.2244,33.5209
2012-09-26,Number of sampling points,,1,count,,USGS-02336360,-84.2244,33.5209
2012-09-26,"Height, gage",,0.65,ft,,USGS-02336360,-84.2244,33.5209
2012-09-26,Specific conductance,Total,106,uS/cm @25C,,USGS-02336360,-84.2244,33.5209
2012-09-26,"Acidity, (H+)",Total,0.00008,mg/l,,USGS-02336360,-84.2244,33.5209
2012-09-26,Oxygen,Dissolved,7.9,mg/l,,USGS-02336360,-84.2244,33.5209
2012-09-26,Oxygen,Dissolved,83,% saturatn,,USGS-02336360,-84.2244,33.5209
2012-09-26,pH,Total,7.1,std units,,USGS-02336360,-84.2244,33.5209
2012-09-26,"Height, gage",,0.20,m,,USGS-02336360,-84.2244,33.5209
2012-09-26,Fecal Coliform,,280,cfu/100ml,,USGS-02336360,-84.2244,33.5209
2012-09-26,Escherichia coli,,230,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2012-09-26,Total Coliform,Total,10000,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2013-02-19,"Temperature, water",,8.1,deg C,,USGS-02336360,-84.2244,33.5209
2013-02-19,"Temperature, air",,11.8,deg C,,USGS-02336360,-84.2244,33.5209
2013-02-19,Barometric pressure,,740,mm/Hg,,USGS-02336360,-84.2244,33.5209
2013-02-19,Number of sampling points,,1,count,,USGS-02336360,-84.2244,33.5209
2013-02-19,"Height, gage",,1.52,ft,,USGS-02336360,-84.2244,33.5209
2013-02-19,Specific conductance,Total,112,uS/cm @25C,,USGS-02336360,-84.2244,33.5209
2013-02-19,"Acidity, (H+)",Total,0.00005,mg/l,,USGS-02336360,-84.2244,33.5209
2013-02-19,Oxygen,Dissolved,10.6,mg/l,,USGS-02336360,-84.2244,33.5209
2013-02-19,Oxygen,Dissolved,93,% saturatn,,USGS-02336360,-84.2244,33.5209
2013-02-19,pH,Total,7.3,std units,,USGS-02336360,-84.2244,33.5209
2013-02-19,"Height, gage",,0.46,m,,USGS-02336360,-84.2244,33.5209
2013-02-19,Fecal Coliform,,1600,cfu/100ml,,USGS-02336360,-84.2244,33.5209
2013-02-19,Escherichia coli,,2900,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2013-02-19,Total Coliform,Total,25000,MPN/100 ml,,USGS-02336360,-84.2244,33.5209
2013-02-19,Turbidity,Total,12,FNU,,USGS-02336360,-84.2244,33.5209
2016-02-16,Stream width measure,,45.0,ft,,USGS-02336360,-84.2244,33.5209
2016-02-16,"Temperature, water",,6.3,deg C,,USGS-02336360,-84.2244,33.5209
2016-02-16,"Temperature, air",,12.2,deg C,,USGS-02336360,-84.2244,33.5209
2016-02-16,Barometric pressure,,736,mm/Hg,,USGS-02336360,-84.2244,33.5209
2016-02-16,Stream flow,,76,ft3/s,Mean,USGS-02336360,-84.2244,33.5209
2016-02-16,Number of sampling points,,1,count,,USGS-02336360,-84.2244,33.5209
2016-02-16,"Height, gage",,1.57,ft,,USGS-02336360,-84.2244,33.5209
2016-02-16,Specific conductance,Total,84,uS/cm @25C,,USGS-02336360,-84.2244,33.5209
2016-02-16,"Acidity, (H+)",Total,0.00005,mg/l,,USGS-02336360,-84.2244,33.5209
2016-02-16,Oxygen,Dissolved,11.6,mg/l,,USGS-02336360,-84.2244,33.5209
2016-02-16,Oxygen,Dissolved,97,% saturatn,,USGS-02336360,-84.2244,33.5209
